"zone";"cx";"cy";"width";"height";"row";"col";"text"
158;1105;1046;20;20;"7";"26";"26"
158;1124;1046;20;20;"7";"27";"27"
158;1142;1046;20;20;"7";"28";"28"
158;1161;1046;20;20;"7";"29";"29"
158;636;1046;20;20;"7";"3";"3"
158;1180;1046;20;20;"7";"30";"30"
158;1199;1046;20;20;"7";"31";"31"
158;1217;1046;20;20;"7";"32";"32"
158;1236;1046;20;20;"7";"33";"33"
158;655;1046;20;20;"7";"4";"4"
158;674;1046;20;20;"7";"5";"5"
158;693;1046;20;20;"7";"6";"6"
158;711;1046;20;20;"7";"7";"7"
158;730;1046;20;20;"7";"8";"8"
158;749;1046;20;20;"7";"9";"9"
158;599;1014;20;20;"8";"1";"1"
158;768;1014;20;20;"8";"10";"10"
158;786;1014;20;20;"8";"11";"11"
158;805;1014;20;20;"8";"12";"12"
158;824;1014;20;20;"8";"13";"13"
158;843;1014;20;20;"8";"14";"14"
158;861;1014;20;20;"8";"15";"15"
158;880;1014;20;20;"8";"16";"16"
158;936;1014;20;20;"8";"17";"17"
158;955;1014;20;20;"8";"18";"18"
158;974;1014;20;20;"8";"19";"19"
158;618;1014;20;20;"8";"2";"2"
158;992;1014;20;20;"8";"20";"20"
158;1011;1014;20;20;"8";"21";"21"
158;1030;1014;20;20;"8";"22";"22"
158;1049;1014;20;20;"8";"23";"23"
158;1067;1014;20;20;"8";"24";"24"
158;1086;1014;20;20;"8";"25";"25"
158;1105;1014;20;20;"8";"26";"26"
158;1124;1014;20;20;"8";"27";"27"
158;1142;1014;20;20;"8";"28";"28"
158;1161;1014;20;20;"8";"29";"29"
158;636;1014;20;20;"8";"3";"3"
158;1180;1014;20;20;"8";"30";"30"
158;1199;1014;20;20;"8";"31";"31"
158;1217;1014;20;20;"8";"32";"32"
158;1236;1014;20;20;"8";"33";"33"
158;655;1014;20;20;"8";"4";"4"
158;674;1014;20;20;"8";"5";"5"
158;693;1014;20;20;"8";"6";"6"
158;711;1014;20;20;"8";"7";"7"
158;730;1014;20;20;"8";"8";"8"
158;749;1014;20;20;"8";"9";"9"
158;599;982;20;20;"9";"1";"1"
159;677;408;20;20;"1";"1";"1"
159;846;408;20;20;"1";"10";"10"
159;865;408;20;20;"1";"11";"11"
159;883;408;20;20;"1";"12";"12"
159;902;408;20;20;"1";"13";"13"
159;972;408;20;20;"1";"14";"14"
159;991;408;20;20;"1";"15";"15"
159;1009;408;20;20;"1";"16";"16"
159;1028;408;20;20;"1";"17";"17"
159;1047;408;20;20;"1";"18";"18"
159;1066;408;20;20;"1";"19";"19"
159;696;408;20;20;"1";"2";"2"
159;1084;408;20;20;"1";"20";"20"
159;1103;408;20;20;"1";"21";"21"
159;1122;408;20;20;"1";"22";"22"
159;1141;408;20;20;"1";"23";"23"
159;1159;408;20;20;"1";"24";"24"
159;1178;408;20;20;"1";"25";"25"
159;715;408;20;20;"1";"3";"3"
159;734;408;20;20;"1";"4";"4"
159;752;408;20;20;"1";"5";"5"
159;771;408;20;20;"1";"6";"6"
159;790;408;20;20;"1";"7";"7"
159;809;408;20;20;"1";"8";"8"
159;827;408;20;20;"1";"9";"9"
159;574;62;20;20;"10";"1";"1"
159;743;62;20;20;"10";"10";"10"
159;762;62;20;20;"10";"11";"11"
159;780;62;20;20;"10";"12";"12"
159;799;62;20;20;"10";"13";"13"
159;818;62;20;20;"10";"14";"14"
159;837;62;20;20;"10";"15";"15"
159;855;62;20;20;"10";"16";"16"
159;874;62;20;20;"10";"17";"17"
159;893;62;20;20;"10";"18";"18"
159;912;62;20;20;"10";"19";"19"
159;593;62;20;20;"10";"2";"2"
159;930;62;20;20;"10";"20";"20"
159;949;62;20;20;"10";"21";"21"
159;968;62;20;20;"10";"22";"22"
159;987;62;20;20;"10";"23";"23"
159;1005;62;20;20;"10";"24";"24"
159;1024;62;20;20;"10";"25";"25"
159;1043;62;20;20;"10";"26";"26"
159;1061;62;20;20;"10";"27";"27"
159;1080;62;20;20;"10";"28";"28"
159;1099;62;20;20;"10";"29";"29"
159;612;62;20;20;"10";"3";"3"
159;1118;62;20;20;"10";"30";"30"
159;1136;62;20;20;"10";"31";"31"
159;1192;62;20;20;"10";"32";"32"
159;1210;62;20;20;"10";"33";"33"
159;1229;62;20;20;"10";"34";"34"
159;1248;62;20;20;"10";"35";"35"
159;1266;62;20;20;"10";"36";"36"
159;1285;62;20;20;"10";"37";"37"
159;1304;62;20;20;"10";"38";"38"
159;1323;62;20;20;"10";"39";"39"
159;631;62;20;20;"10";"4";"4"
159;649;62;20;20;"10";"5";"5"
159;668;62;20;20;"10";"6";"6"
159;687;62;20;20;"10";"7";"7"
159;706;62;20;20;"10";"8";"8"
159;724;62;20;20;"10";"9";"9"
159;659;376;20;20;"2";"1";"1"
159;827;376;20;20;"2";"10";"10"
159;846;376;20;20;"2";"11";"11"
159;865;376;20;20;"2";"12";"12"
159;883;376;20;20;"2";"13";"13"
159;902;376;20;20;"2";"14";"14"
159;972;376;20;20;"2";"15";"15"
159;991;376;20;20;"2";"16";"16"
159;1009;376;20;20;"2";"17";"17"
159;1028;376;20;20;"2";"18";"18"
159;1047;376;20;20;"2";"19";"19"
159;677;376;20;20;"2";"2";"2"
159;1066;376;20;20;"2";"20";"20"
159;1084;376;20;20;"2";"21";"21"
159;1103;376;20;20;"2";"22";"22"
159;1122;376;20;20;"2";"23";"23"
159;1141;376;20;20;"2";"24";"24"
159;1159;376;20;20;"2";"25";"25"
159;1178;376;20;20;"2";"26";"26"
159;696;376;20;20;"2";"3";"3"
159;715;376;20;20;"2";"4";"4"
159;734;376;20;20;"2";"5";"5"
159;752;376;20;20;"2";"6";"6"
