"zone";"cx";"cy";"width";"height";"row";"col";"text"
168;795;1138;20;20;"2";"19";"19"
168;1188;1138;20;20;"2";"2";"2"
168;773;1138;20;20;"2";"20";"20"
168;751;1138;20;20;"2";"21";"21"
168;728;1138;20;20;"2";"22";"22"
168;703;1138;20;20;"2";"23";"23"
168;680;1138;20;20;"2";"24";"24"
168;656;1138;20;20;"2";"25";"25"
168;633;1138;20;20;"2";"26";"26"
168;610;1138;20;20;"2";"27";"27"
168;1165;1138;20;20;"2";"3";"3"
168;1141;1138;20;20;"2";"4";"4"
168;1118;1138;20;20;"2";"5";"5"
168;1095;1138;20;20;"2";"6";"6"
168;1071;1138;20;20;"2";"7";"7"
168;1048;1138;20;20;"2";"8";"8"
168;1025;1138;20;20;"2";"9";"9"
168;1305;453;20;20;"20";"1";"1"
168;986;456;20;20;"20";"10";"10"
168;962;456;20;20;"20";"11";"11"
168;939;456;20;20;"20";"12";"12"
168;916;456;20;20;"20";"13";"13"
168;894;456;20;20;"20";"14";"14"
168;871;456;20;20;"20";"15";"15"
168;849;456;20;20;"20";"16";"16"
168;825;456;20;20;"20";"17";"17"
168;802;456;20;20;"20";"18";"18"
168;779;456;20;20;"20";"19";"19"
168;1281;453;20;20;"20";"2";"2"
168;756;456;20;20;"20";"20";"20"
168;622;453;20;20;"20";"21";"21"
168;598;453;20;20;"20";"22";"22"
168;573;453;20;20;"20";"23";"23"
168;550;453;20;20;"20";"24";"24"
168;527;453;20;20;"20";"25";"25"
168;1256;453;20;20;"20";"3";"3"
168;1233;453;20;20;"20";"4";"4"
168;1210;453;20;20;"20";"5";"5"
168;1079;456;20;20;"20";"6";"6"
168;1056;456;20;20;"20";"7";"7"
168;1032;456;20;20;"20";"8";"8"
168;1009;456;20;20;"20";"9";"9"
168;1305;427;20;20;"21";"1";"1"
168;974;430;20;20;"21";"10";"10"
168;951;430;20;20;"21";"11";"11"
168;927;430;20;20;"21";"12";"12"
168;904;430;20;20;"21";"13";"13"
168;882;430;20;20;"21";"14";"14"
168;859;430;20;20;"21";"15";"15"
168;837;430;20;20;"21";"16";"16"
168;814;430;20;20;"21";"17";"17"
168;790;430;20;20;"21";"18";"18"
168;767;430;20;20;"21";"19";"19"
168;1281;427;20;20;"21";"2";"2"
168;622;426;20;20;"21";"20";"20"
168;598;426;20;20;"21";"21";"21"
168;573;426;20;20;"21";"22";"22"
168;550;426;20;20;"21";"23";"23"
168;527;426;20;20;"21";"24";"24"
168;1256;427;20;20;"21";"3";"3"
168;1233;427;20;20;"21";"4";"4"
168;1210;427;20;20;"21";"5";"5"
168;1067;430;20;20;"21";"6";"6"
168;1044;430;20;20;"21";"7";"7"
168;1021;430;20;20;"21";"8";"8"
168;997;430;20;20;"21";"9";"9"
168;1305;397;20;20;"22";"1";"1"
168;986;399;20;20;"22";"10";"10"
168;962;399;20;20;"22";"11";"11"
168;939;399;20;20;"22";"12";"12"
168;916;399;20;20;"22";"13";"13"
168;894;399;20;20;"22";"14";"14"
168;871;399;20;20;"22";"15";"15"
168;849;399;20;20;"22";"16";"16"
168;825;399;20;20;"22";"17";"17"
168;802;399;20;20;"22";"18";"18"
168;779;399;20;20;"22";"19";"19"
168;1281;397;20;20;"22";"2";"2"
168;756;399;20;20;"22";"20";"20"
168;622;396;20;20;"22";"21";"21"
168;598;396;20;20;"22";"22";"22"
168;573;396;20;20;"22";"23";"23"
168;550;396;20;20;"22";"24";"24"
168;527;396;20;20;"22";"25";"25"
168;1256;397;20;20;"22";"3";"3"
168;1233;397;20;20;"22";"4";"4"
168;1210;397;20;20;"22";"5";"5"
168;1079;399;20;20;"22";"6";"6"
168;1056;399;20;20;"22";"7";"7"
168;1032;399;20;20;"22";"8";"8"
168;1009;399;20;20;"22";"9";"9"
168;1287;372;20;20;"23";"1";"1"
168;956;375;20;20;"23";"10";"10"
168;933;375;20;20;"23";"11";"11"
168;910;375;20;20;"23";"12";"12"
168;888;375;20;20;"23";"13";"13"
168;865;375;20;20;"23";"14";"14"
168;843;375;20;20;"23";"15";"15"
168;820;375;20;20;"23";"16";"16"
168;796;375;20;20;"23";"17";"17"
168;773;375;20;20;"23";"18";"18"
168;623;371;20;20;"23";"19";"19"
168;1262;372;20;20;"23";"2";"2"
168;600;371;20;20;"23";"20";"20"
168;575;371;20;20;"23";"21";"21"
168;552;371;20;20;"23";"22";"22"
168;1239;372;20;20;"23";"3";"3"
168;1215;372;20;20;"23";"4";"4"
168;1073;375;20;20;"23";"5";"5"
168;1050;375;20;20;"23";"6";"6"
168;1026;375;20;20;"23";"7";"7"
168;1003;375;20;20;"23";"8";"8"
168;980;375;20;20;"23";"9";"9"
168;1226;1109;20;20;"3";"1";"1"
168;1015;1109;20;20;"3";"10";"10"
168;991;1109;20;20;"3";"11";"11"
168;968;1109;20;20;"3";"12";"12"
168;945;1109;20;20;"3";"13";"13"
168;923;1109;20;20;"3";"14";"14"
168;900;1109;20;20;"3";"15";"15"
168;878;1109;20;20;"3";"16";"16"
168;855;1109;20;20;"3";"17";"17"
168;831;1109;20;20;"3";"18";"18"
168;808;1109;20;20;"3";"19";"19"
168;1203;1109;20;20;"3";"2";"2"
168;785;1109;20;20;"3";"20";"20"
168;763;1109;20;20;"3";"21";"21"
168;741;1109;20;20;"3";"22";"22"
168;718;1109;20;20;"3";"23";"23"
168;693;1109;20;20;"3";"24";"24"
168;669;1109;20;20;"3";"25";"25"
168;646;1109;20;20;"3";"26";"26"
168;623;1109;20;20;"3";"27";"27"
168;599;1109;20;20;"3";"28";"28"
168;1178;1109;20;20;"3";"3";"3"
168;1154;1109;20;20;"3";"4";"4"
168;1131;1109;20;20;"3";"5";"5"
168;1108;1109;20;20;"3";"6";"6"
168;1085;1109;20;20;"3";"7";"7"
168;1061;1109;20;20;"3";"8";"8"
168;1038;1109;20;20;"3";"9";"9"
168;1238;995;20;20;"4";"1";"1"
168;1026;995;20;20;"4";"10";"10"
168;1003;995;20;20;"4";"11";"11"
168;980;995;20;20;"4";"12";"12"
168;956;995;20;20;"4";"13";"13"
168;935;995;20;20;"4";"14";"14"
168;911;995;20;20;"4";"15";"15"
168;889;995;20;20;"4";"16";"16"
168;866;995;20;20;"4";"17";"17"
168;843;995;20;20;"4";"18";"18"
168;820;995;20;20;"4";"19";"19"
168;1214;995;20;20;"4";"2";"2"
168;796;995;20;20;"4";"20";"20"
168;774;995;20;20;"4";"21";"21"
168;753;995;20;20;"4";"22";"22"
168;729;995;20;20;"4";"23";"23"
168;704;995;20;20;"4";"24";"24"
168;681;995;20;20;"4";"25";"25"
168;658;995;20;20;"4";"26";"26"
168;634;995;20;20;"4";"27";"27"
168;611;995;20;20;"4";"28";"28"
168;588;995;20;20;"4";"29";"29"
168;1189;995;20;20;"4";"3";"3"
168;1166;995;20;20;"4";"4";"4"
168;1143;995;20;20;"4";"5";"5"
168;1120;995;20;20;"4";"6";"6"
168;1096;995;20;20;"4";"7";"7"
168;1073;995;20;20;"4";"8";"8"
168;1050;995;20;20;"4";"9";"9"
168;1226;967;20;20;"5";"1";"1"
168;1015;967;20;20;"5";"10";"10"
168;991;967;20;20;"5";"11";"11"
168;968;967;20;20;"5";"12";"12"
168;945;967;20;20;"5";"13";"13"
168;923;967;20;20;"5";"14";"14"
168;900;967;20;20;"5";"15";"15"
168;878;967;20;20;"5";"16";"16"
168;855;967;20;20;"5";"17";"17"
168;831;967;20;20;"5";"18";"18"
168;808;967;20;20;"5";"19";"19"
168;1203;967;20;20;"5";"2";"2"
168;785;967;20;20;"5";"20";"20"
168;763;967;20;20;"5";"21";"21"
168;741;967;20;20;"5";"22";"22"
168;718;967;20;20;"5";"23";"23"
168;693;967;20;20;"5";"24";"24"
168;669;967;20;20;"5";"25";"25"
168;646;967;20;20;"5";"26";"26"
168;623;967;20;20;"5";"27";"27"
168;599;967;20;20;"5";"28";"28"
168;1178;967;20;20;"5";"3";"3"
168;1154;967;20;20;"5";"4";"4"
168;1131;967;20;20;"5";"5";"5"
168;1108;967;20;20;"5";"6";"6"
168;1085;967;20;20;"5";"7";"7"
168;1061;967;20;20;"5";"8";"8"
168;1038;967;20;20;"5";"9";"9"
168;1238;940;20;20;"6";"1";"1"
168;1026;940;20;20;"6";"10";"10"
168;1003;940;20;20;"6";"11";"11"
168;980;940;20;20;"6";"12";"12"
168;956;940;20;20;"6";"13";"13"
168;935;940;20;20;"6";"14";"14"
168;911;940;20;20;"6";"15";"15"
168;889;940;20;20;"6";"16";"16"
168;866;940;20;20;"6";"17";"17"
168;843;940;20;20;"6";"18";"18"
168;820;940;20;20;"6";"19";"19"
168;1214;940;20;20;"6";"2";"2"
168;796;940;20;20;"6";"20";"20"
168;774;940;20;20;"6";"21";"21"
168;753;940;20;20;"6";"22";"22"
168;729;940;20;20;"6";"23";"23"
168;704;940;20;20;"6";"24";"24"
168;681;940;20;20;"6";"25";"25"
168;658;940;20;20;"6";"26";"26"
168;634;940;20;20;"6";"27";"27"
168;611;940;20;20;"6";"28";"28"
168;588;940;20;20;"6";"29";"29"
168;1189;940;20;20;"6";"3";"3"
168;1166;940;20;20;"6";"4";"4"
168;1143;940;20;20;"6";"5";"5"
168;1120;940;20;20;"6";"6";"6"
168;1096;940;20;20;"6";"7";"7"
168;1073;940;20;20;"6";"8";"8"
168;1050;940;20;20;"6";"9";"9"
