zone;cx;cy;width;height;row;col;text
144;1038;542;28;28;10;10;10
144;1091;542;28;28;10;11;11
144;1144;542;28;28;10;12;12
144;1197;542;28;28;10;13;13
144;1250;542;28;28;10;14;14
144;1303;542;28;28;10;15;15
144;486;595;28;28;9;1;1
144;539;595;28;28;9;2;2
144;592;595;28;28;9;3;3
144;645;595;28;28;9;4;4
144;698;595;28;28;9;5;5
144;751;595;28;28;9;6;6
144;804;595;28;28;9;7;7
144;857;595;28;28;9;8;8
144;985;595;28;28;9;9;9
144;1038;595;28;28;9;10;10
144;1091;595;28;28;9;11;11
144;1144;595;28;28;9;12;12
144;1197;595;28;28;9;13;13
144;1250;595;28;28;9;14;14
144;1303;595;28;28;9;15;15
144;486;648;28;28;8;1;1
144;539;648;28;28;8;2;2
144;592;648;28;28;8;3;3
144;645;648;28;28;8;4;4
144;698;648;28;28;8;5;5
144;751;648;28;28;8;6;6
144;804;648;28;28;8;7;7
144;857;648;28;28;8;8;8
144;985;648;28;28;8;9;9
144;1038;648;28;28;8;10;10
144;1091;648;28;28;8;11;11
144;1144;648;28;28;8;12;12
144;1197;648;28;28;8;13;13
144;1250;648;28;28;8;14;14
144;1303;648;28;28;8;15;15
144;486;701;28;28;7;1;1
144;539;701;28;28;7;2;2
144;592;701;28;28;7;3;3
144;645;701;28;28;7;4;4
144;698;701;28;28;7;5;5
144;751;701;28;28;7;6;6
144;804;701;28;28;7;7;7
144;857;701;28;28;7;8;8
144;486;754;28;28;6;1;1
144;539;754;28;28;6;2;2
144;592;754;28;28;6;3;3
144;645;754;28;28;6;4;4
144;698;754;28;28;6;5;5
144;751;754;28;28;6;6;6
144;804;754;28;28;6;7;7
144;857;754;28;28;6;8;8
144;985;754;28;28;6;9;9
144;1038;754;28;28;6;10;10
144;1091;754;28;28;6;11;11
144;1144;754;28;28;6;12;12
144;1197;754;28;28;6;13;13
144;1250;754;28;28;6;14;14
144;1303;754;28;28;6;15;15
144;486;807;28;28;5;1;1
144;539;807;28;28;5;2;2
144;592;807;28;28;5;3;3
144;645;807;28;28;5;4;4
144;698;807;28;28;5;5;5
144;751;807;28;28;5;6;6
144;804;807;28;28;5;7;7
144;857;807;28;28;5;8;8
144;985;807;28;28;5;9;9
144;1038;807;28;28;5;10;10
144;1091;807;28;28;5;11;11
144;1144;807;28;28;5;12;12
144;1197;807;28;28;5;13;13
144;1250;807;28;28;5;14;14
144;1303;807;28;28;5;15;15
144;486;860;28;28;4;1;1
144;539;860;28;28;4;2;2
144;592;860;28;28;4;3;3
144;645;860;28;28;4;4;4
144;698;860;28;28;4;5;5
144;751;860;28;28;4;6;6
144;804;860;28;28;4;7;7
144;857;860;28;28;4;8;8
144;985;860;28;28;4;9;9
144;1038;860;28;28;4;10;10
144;1091;860;28;28;4;11;11
144;1144;860;28;28;4;12;12
144;1197;860;28;28;4;13;13
144;1250;860;28;28;4;14;14
144;1303;860;28;28;4;15;15
144;486;913;28;28;3;1;1
144;539;913;28;28;3;2;2
144;592;913;28;28;3;3;3
144;645;913;28;28;3;4;4
144;698;913;28;28;3;5;5
144;751;913;28;28;3;6;6
144;804;913;28;28;3;7;7
144;857;913;28;28;3;8;8
144;985;913;28;28;3;9;9
144;1038;913;28;28;3;10;10
144;1091;913;28;28;3;11;11
144;1144;913;28;28;3;12;12
144;1197;913;28;28;3;13;13
144;1250;913;28;28;3;14;14
144;1303;913;28;28;3;15;15
144;486;966;28;28;2;1;1
144;539;966;28;28;2;2;2
144;592;966;28;28;2;3;3
144;645;966;28;28;2;4;4
144;698;966;28;28;2;5;5
144;751;966;28;28;2;6;6
144;804;966;28;28;2;7;7
144;857;966;28;28;2;8;8
144;985;966;28;28;2;9;9
144;1038;966;28;28;2;10;10
144;1091;966;28;28;2;11;11
144;1144;966;28;28;2;12;12
144;1197;966;28;28;2;13;13
144;1250;966;28;28;2;14;14
144;1303;966;28;28;2;15;15
144;486;1019;28;28;1;1;1
144;539;1019;28;28;1;2;2
144;592;1019;28;28;1;3;3
144;645;1019;28;28;1;4;4
144;698;1019;28;28;1;5;5
144;751;1019;28;28;1;6;6
144;804;1019;28;28;1;7;7
144;857;1019;28;28;1;8;8
144;985;1019;28;28;1;9;9
144;1038;1019;28;28;1;10;10
144;1091;1019;28;28;1;11;11
144;1144;1019;28;28;1;12;12
144;1197;1019;28;28;1;13;13
144;1250;1019;28;28;1;14;14
144;1303;1019;28;28;1;15;15
144;1252;330;28;28;14;12;12
144;1252;383;28;28;13;12;12
144;592;330;28;28;14;1;1
144;645;330;28;28;14;2;2
144;698;330;28;28;14;3;3
144;751;330;28;28;14;4;4
144;804;330;28;28;14;5;5
144;857;330;28;28;14;6;6
144;985;330;28;28;14;7;7
144;1038;330;28;28;14;8;8
144;1091;330;28;28;14;9;9
144;1144;330;28;28;14;10;10
144;1197;330;28;28;14;11;11
144;592;383;28;28;13;1;1
144;645;383;28;28;13;2;2
144;698;383;28;28;13;3;3
144;751;383;28;28;13;4;4
144;804;383;28;28;13;5;5
144;857;383;28;28;13;6;6
144;985;383;28;28;13;7;7
144;1038;383;28;28;13;8;8
144;1091;383;28;28;13;9;9
144;1144;383;28;28;13;10;10
144;1197;383;28;28;13;11;11
144;486;436;28;28;12;1;1
144;539;436;28;28;12;2;2
144;592;436;28;28;12;3;3
144;645;436;28;28;12;4;4
144;698;436;28;28;12;5;5
144;751;436;28;28;12;6;6
144;804;436;28;28;12;7;7
144;857;436;28;28;12;8;8
144;985;436;28;28;12;9;9
144;1038;436;28;28;12;10;10
144;1091;436;28;28;12;11;11
144;1144;436;28;28;12;12;12
144;1197;436;28;28;12;13;13
144;1250;436;28;28;12;14;14
144;1303;436;28;28;12;15;15
144;486;489;28;28;11;1;1
144;539;489;28;28;11;2;2
144;592;489;28;28;11;3;3
144;645;489;28;28;11;4;4
144;698;489;28;28;11;5;5
144;751;489;28;28;11;6;6
144;804;489;28;28;11;7;7
144;857;489;28;28;11;8;8
144;985;489;28;28;11;9;9
144;1038;489;28;28;11;10;10
144;1091;489;28;28;11;11;11
144;1144;489;28;28;11;12;12
144;1197;489;28;28;11;13;13
144;1250;489;28;28;11;14;14
144;1303;489;28;28;11;15;15
144;486;542;28;28;10;1;1
144;539;542;28;28;10;2;2
144;592;542;28;28;10;3;3
144;645;542;28;28;10;4;4
144;698;542;28;28;10;5;5
144;751;542;28;28;10;6;6
144;804;542;28;28;10;7;7
144;857;542;28;28;10;8;8
144;985;542;28;28;10;9;9
