zone;cx;cy;width;height;row;col;text
182;117;271;14;14;20;93;93
182;1682;255;14;14;21;1;1
182;1537;227;14;14;21;10;10
182;162;244;14;14;21;100;100
182;146;247;14;14;21;101;101
182;130;251;14;14;21;102;102
182;114;254;14;14;21;103;103
182;1521;224;14;14;21;11;11
182;1504;221;14;14;21;12;12
182;1488;218;14;14;21;13;13
182;1472;216;14;14;21;14;14
182;1456;213;14;14;21;15;15
182;1440;210;14;14;21;16;16
182;1424;207;14;14;21;17;17
182;1408;204;14;14;21;18;18
182;1392;201;14;14;21;19;19
182;1666;252;14;14;21;2;2
182;1375;198;14;14;21;20;20
182;1359;194;14;14;21;21;21
182;1345;191;14;14;21;22;22
182;1329;189;14;14;21;23;23
182;1314;188;14;14;21;24;24
182;1299;186;14;14;21;25;25
182;1284;185;14;14;21;26;26
182;1269;184;14;14;21;27;27
182;1254;182;14;14;21;28;28
182;1239;181;14;14;21;29;29
182;1650;248;14;14;21;3;3
182;1224;179;14;14;21;30;30
182;1209;178;14;14;21;31;31
182;1194;177;14;14;21;32;32
182;1179;175;14;14;21;33;33
182;1164;174;14;14;21;34;34
182;1149;173;14;14;21;35;35
182;1134;171;14;14;21;36;36
182;1118;170;14;14;21;37;37
182;1104;168;14;14;21;38;38
182;1088;167;14;14;21;39;39
182;1634;245;14;14;21;4;4
182;1073;166;14;14;21;40;40
182;1058;164;14;14;21;41;41
182;1043;163;14;14;21;42;42
182;1028;162;14;14;21;43;43
182;1013;160;14;14;21;44;44
182;998;159;14;14;21;45;45
182;984;157;14;14;21;46;46
182;970;157;14;14;21;47;47
182;956;157;14;14;21;48;48
182;942;157;14;14;21;49;49
182;1618;242;14;14;21;5;5
182;928;157;14;14;21;50;50
182;914;157;14;14;21;51;51
182;900;157;14;14;21;52;52
182;886;157;14;14;21;53;53
182;872;157;14;14;21;54;54
182;858;157;14;14;21;55;55
182;844;157;14;14;21;56;56
182;830;157;14;14;21;57;57
182;815;157;14;14;21;58;58
182;799;159;14;14;21;59;59
182;1602;239;14;14;21;6;6
182;784;160;14;14;21;60;60
182;769;162;14;14;21;61;61
182;753;163;14;14;21;62;62
182;739;164;14;14;21;63;63
182;724;166;14;14;21;64;64
182;708;167;14;14;21;65;65
182;693;168;14;14;21;66;66
182;678;170;14;14;21;67;67
182;663;171;14;14;21;68;68
182;648;173;14;14;21;69;69
182;1585;236;14;14;21;7;7
182;633;174;14;14;21;70;70
182;618;175;14;14;21;71;71
182;603;177;14;14;21;72;72
182;588;178;14;14;21;73;73
182;573;179;14;14;21;74;74
182;558;181;14;14;21;75;75
182;543;182;14;14;21;76;76
182;528;184;14;14;21;77;77
