"zone";"cx";"cy";"width";"height";"row";"col";"text"
334;764;1032;30;30;"21";"7";"7"
334;801;1032;30;30;"21";"8";"8"
334;838;1032;30;30;"21";"9";"9"
334;874;1032;30;30;"21";"10";"10"
334;911;1032;30;30;"21";"11";"11"
334;948;1032;30;30;"21";"12";"12"
334;985;1032;30;30;"21";"13";"13"
334;1022;1032;30;30;"21";"14";"14"
334;1059;1032;30;30;"21";"15";"15"
334;1122;1032;30;30;"21";"16";"16"
334;1159;1032;30;30;"21";"17";"17"
334;1196;1032;30;30;"21";"18";"18"
334;1233;1032;30;30;"21";"19";"19"
334;1269;1032;30;30;"21";"20";"20"
334;1306;1032;30;30;"21";"21";"21"
334;1343;1032;30;30;"21";"22";"22"
334;1380;1032;30;30;"21";"23";"23"
334;1417;1032;30;30;"21";"24";"24"
334;1454;1032;30;30;"21";"25";"25"
334;1491;1032;30;30;"21";"26";"26"
334;1528;1032;30;30;"21";"27";"27"
334;1565;1032;30;30;"21";"28";"28"
334;541;1068;30;30;"23";"1";"1"
334;578;1068;30;30;"23";"2";"2"
334;615;1068;30;30;"23";"3";"3"
334;652;1068;30;30;"23";"4";"4"
334;689;1068;30;30;"23";"5";"5"
334;726;1068;30;30;"23";"6";"6"
334;763;1068;30;30;"23";"7";"7"
334;800;1068;30;30;"23";"8";"8"
334;837;1068;30;30;"23";"9";"9"
334;871;1068;30;30;"23";"10";"10"
334;908;1068;30;30;"23";"11";"11"
334;947;1068;30;30;"23";"12";"12"
334;984;1068;30;30;"23";"13";"13"
334;1021;1068;30;30;"23";"14";"14"
334;1058;1068;30;30;"23";"15";"15"
334;1124;1068;30;30;"23";"16";"16"
334;1161;1068;30;30;"23";"17";"17"
334;1198;1068;30;30;"23";"18";"18"
334;1235;1068;30;30;"23";"19";"19"
334;1270;1068;30;30;"23";"20";"20"
334;1307;1068;30;30;"23";"21";"21"
334;1344;1068;30;30;"23";"22";"22"
334;1381;1068;30;30;"23";"23";"23"
334;1418;1068;30;30;"23";"24";"24"
334;1455;1068;30;30;"23";"25";"25"
334;1492;1068;30;30;"23";"26";"26"
334;1529;1068;30;30;"23";"27";"27"
334;1566;1068;30;30;"23";"28";"28"
334;397;181;30;30;"1";"1";"1"
334;434;181;30;30;"1";"2";"2"
334;471;181;30;30;"1";"3";"3"
334;508;181;30;30;"1";"4";"4"
334;545;181;30;30;"1";"5";"5"
334;582;181;30;30;"1";"6";"6"
334;619;181;30;30;"1";"7";"7"
334;656;181;30;30;"1";"8";"8"
334;693;181;30;30;"1";"9";"9"
334;729;181;30;30;"1";"10";"10"
334;766;181;30;30;"1";"11";"11"
334;803;181;30;30;"1";"12";"12"
334;840;181;30;30;"1";"13";"13"
334;877;181;30;30;"1";"14";"14"
334;914;181;30;30;"1";"15";"15"
334;951;181;30;30;"1";"16";"16"
334;988;181;30;30;"1";"17";"17"
334;1025;181;30;30;"1";"18";"18"
334;1062;181;30;30;"1";"19";"19"
334;1122;181;30;30;"1";"20";"20"
334;1159;181;30;30;"1";"21";"21"
334;1196;181;30;30;"1";"22";"22"
334;1233;181;30;30;"1";"23";"23"
334;1270;181;30;30;"1";"24";"24"
334;1307;181;30;30;"1";"25";"25"
334;1344;181;30;30;"1";"26";"26"
334;1381;181;30;30;"1";"27";"27"
334;1418;181;30;30;"1";"28";"28"
334;1455;181;30;30;"1";"29";"29"
334;1491;181;30;30;"1";"30";"30"
334;1528;181;30;30;"1";"31";"31"
334;1565;181;30;30;"1";"32";"32"
334;1602;181;30;30;"1";"33";"33"
334;1639;181;30;30;"1";"34";"34"
334;1676;181;30;30;"1";"35";"35"
334;1713;181;30;30;"1";"36";"36"
334;397;218;30;30;"2";"1";"1"
334;434;218;30;30;"2";"2";"2"
334;471;218;30;30;"2";"3";"3"
334;508;218;30;30;"2";"4";"4"
334;545;218;30;30;"2";"5";"5"
334;582;218;30;30;"2";"6";"6"
334;619;218;30;30;"2";"7";"7"
334;656;218;30;30;"2";"8";"8"
334;693;218;30;30;"2";"9";"9"
334;729;218;30;30;"2";"10";"10"
334;766;218;30;30;"2";"11";"11"
334;803;218;30;30;"2";"12";"12"
334;840;218;30;30;"2";"13";"13"
334;877;218;30;30;"2";"14";"14"
334;914;218;30;30;"2";"15";"15"
334;951;218;30;30;"2";"16";"16"
334;988;218;30;30;"2";"17";"17"
334;1025;218;30;30;"2";"18";"18"
334;1062;218;30;30;"2";"19";"19"
334;1122;218;30;30;"2";"20";"20"
334;1159;218;30;30;"2";"21";"21"
334;1196;218;30;30;"2";"22";"22"
334;1233;218;30;30;"2";"23";"23"
334;1270;218;30;30;"2";"24";"24"
334;1307;218;30;30;"2";"25";"25"
334;1344;218;30;30;"2";"26";"26"
334;1381;218;30;30;"2";"27";"27"
334;1418;218;30;30;"2";"28";"28"
334;1455;218;30;30;"2";"29";"29"
334;1491;218;30;30;"2";"30";"30"
334;1528;218;30;30;"2";"31";"31"
334;1565;218;30;30;"2";"32";"32"
334;1602;218;30;30;"2";"33";"33"
334;1639;218;30;30;"2";"34";"34"
334;1676;218;30;30;"2";"35";"35"
334;1713;218;30;30;"2";"36";"36"
334;397;255;30;30;"3";"1";"1"
334;434;255;30;30;"3";"2";"2"
334;471;255;30;30;"3";"3";"3"
334;508;255;30;30;"3";"4";"4"
334;545;255;30;30;"3";"5";"5"
334;582;255;30;30;"3";"6";"6"
334;619;255;30;30;"3";"7";"7"
334;656;255;30;30;"3";"8";"8"
334;693;255;30;30;"3";"9";"9"
334;729;255;30;30;"3";"10";"10"
334;766;255;30;30;"3";"11";"11"
334;803;255;30;30;"3";"12";"12"
334;840;255;30;30;"3";"13";"13"
334;877;255;30;30;"3";"14";"14"
334;914;255;30;30;"3";"15";"15"
334;951;255;30;30;"3";"16";"16"
334;988;255;30;30;"3";"17";"17"
334;1025;255;30;30;"3";"18";"18"
334;1062;255;30;30;"3";"19";"19"
334;1122;255;30;30;"3";"20";"20"
334;1159;255;30;30;"3";"21";"21"
334;1196;255;30;30;"3";"22";"22"
334;1233;255;30;30;"3";"23";"23"
334;1270;255;30;30;"3";"24";"24"
334;1307;255;30;30;"3";"25";"25"
334;1344;255;30;30;"3";"26";"26"
334;1381;255;30;30;"3";"27";"27"
334;1418;255;30;30;"3";"28";"28"
334;1455;255;30;30;"3";"29";"29"
334;1491;255;30;30;"3";"30";"30"
334;1528;255;30;30;"3";"31";"31"
334;1565;255;30;30;"3";"32";"32"
334;1602;255;30;30;"3";"33";"33"
334;1639;255;30;30;"3";"34";"34"
334;1676;255;30;30;"3";"35";"35"
334;1713;255;30;30;"3";"36";"36"
334;397;292;30;30;"4";"1";"1"
334;434;292;30;30;"4";"2";"2"
334;471;292;30;30;"4";"3";"3"
334;508;292;30;30;"4";"4";"4"
334;545;292;30;30;"4";"5";"5"
334;582;292;30;30;"4";"6";"6"
334;619;292;30;30;"4";"7";"7"
334;656;292;30;30;"4";"8";"8"
334;693;292;30;30;"4";"9";"9"
334;729;292;30;30;"4";"10";"10"
334;766;292;30;30;"4";"11";"11"
334;803;292;30;30;"4";"12";"12"
334;840;292;30;30;"4";"13";"13"
334;877;292;30;30;"4";"14";"14"
334;914;292;30;30;"4";"15";"15"
334;951;292;30;30;"4";"16";"16"
334;988;292;30;30;"4";"17";"17"
334;1025;292;30;30;"4";"18";"18"
334;1062;292;30;30;"4";"19";"19"
334;1122;292;30;30;"4";"20";"20"
334;1159;292;30;30;"4";"21";"21"
334;1196;292;30;30;"4";"22";"22"
334;1233;292;30;30;"4";"23";"23"
334;1270;292;30;30;"4";"24";"24"
334;1307;292;30;30;"4";"25";"25"
334;1344;292;30;30;"4";"26";"26"
334;1381;292;30;30;"4";"27";"27"
334;1418;292;30;30;"4";"28";"28"
334;1455;292;30;30;"4";"29";"29"
334;1491;292;30;30;"4";"30";"30"
334;1528;292;30;30;"4";"31";"31"
334;1565;292;30;30;"4";"32";"32"
334;1602;292;30;30;"4";"33";"33"
334;1639;292;30;30;"4";"34";"34"
334;1676;292;30;30;"4";"35";"35"
334;1713;292;30;30;"4";"36";"36"
334;397;329;30;30;"5";"1";"1"
334;434;329;30;30;"5";"2";"2"
334;471;329;30;30;"5";"3";"3"
334;508;329;30;30;"5";"4";"4"
334;545;329;30;30;"5";"5";"5"
334;582;329;30;30;"5";"6";"6"
334;619;329;30;30;"5";"7";"7"
334;656;329;30;30;"5";"8";"8"
334;693;329;30;30;"5";"9";"9"
334;729;329;30;30;"5";"10";"10"
334;766;329;30;30;"5";"11";"11"
334;803;329;30;30;"5";"12";"12"
334;840;329;30;30;"5";"13";"13"
334;877;329;30;30;"5";"14";"14"
334;914;329;30;30;"5";"15";"15"
334;951;329;30;30;"5";"16";"16"
334;988;329;30;30;"5";"17";"17"
334;1025;329;30;30;"5";"18";"18"
334;1062;329;30;30;"5";"19";"19"
334;1122;329;30;30;"5";"20";"20"
334;1159;329;30;30;"5";"21";"21"
334;1196;329;30;30;"5";"22";"22"
334;1233;329;30;30;"5";"23";"23"
334;1270;329;30;30;"5";"24";"24"
334;1307;329;30;30;"5";"25";"25"
334;1344;329;30;30;"5";"26";"26"
334;1381;329;30;30;"5";"27";"27"
334;1418;329;30;30;"5";"28";"28"
334;1455;329;30;30;"5";"29";"29"
334;1491;329;30;30;"5";"30";"30"
334;1528;329;30;30;"5";"31";"31"
334;1565;329;30;30;"5";"32";"32"
334;1602;329;30;30;"5";"33";"33"
334;1639;329;30;30;"5";"34";"34"
334;1676;329;30;30;"5";"35";"35"
334;1713;329;30;30;"5";"36";"36"
334;397;366;30;30;"6";"1";"1"
334;434;366;30;30;"6";"2";"2"
334;471;366;30;30;"6";"3";"3"
334;508;366;30;30;"6";"4";"4"
334;545;366;30;30;"6";"5";"5"
334;582;366;30;30;"6";"6";"6"
334;619;366;30;30;"6";"7";"7"
334;656;366;30;30;"6";"8";"8"
334;693;366;30;30;"6";"9";"9"
334;729;366;30;30;"6";"10";"10"
334;766;366;30;30;"6";"11";"11"
334;803;366;30;30;"6";"12";"12"
334;840;366;30;30;"6";"13";"13"
334;877;366;30;30;"6";"14";"14"
334;914;366;30;30;"6";"15";"15"
334;951;366;30;30;"6";"16";"16"
334;988;366;30;30;"6";"17";"17"
334;1025;366;30;30;"6";"18";"18"
334;1062;366;30;30;"6";"19";"19"
334;1122;366;30;30;"6";"20";"20"
334;1159;366;30;30;"6";"21";"21"
334;1196;366;30;30;"6";"22";"22"
334;1233;366;30;30;"6";"23";"23"
334;1270;366;30;30;"6";"24";"24"
334;1307;366;30;30;"6";"25";"25"
334;1344;366;30;30;"6";"26";"26"
334;1381;366;30;30;"6";"27";"27"
334;1418;366;30;30;"6";"28";"28"
334;1455;366;30;30;"6";"29";"29"
334;1491;366;30;30;"6";"30";"30"
334;1528;366;30;30;"6";"31";"31"
334;1565;366;30;30;"6";"32";"32"
334;1602;366;30;30;"6";"33";"33"
334;1639;366;30;30;"6";"34";"34"
334;1676;366;30;30;"6";"35";"35"
334;1713;366;30;30;"6";"36";"36"
334;397;403;30;30;"7";"1";"1"
334;434;403;30;30;"7";"2";"2"
334;471;403;30;30;"7";"3";"3"
334;508;403;30;30;"7";"4";"4"
334;545;403;30;30;"7";"5";"5"
334;582;403;30;30;"7";"6";"6"
334;619;403;30;30;"7";"7";"7"
334;656;403;30;30;"7";"8";"8"
334;693;403;30;30;"7";"9";"9"
334;729;403;30;30;"7";"10";"10"
334;766;403;30;30;"7";"11";"11"
334;803;403;30;30;"7";"12";"12"
334;840;403;30;30;"7";"13";"13"
334;877;403;30;30;"7";"14";"14"
334;914;403;30;30;"7";"15";"15"
334;951;403;30;30;"7";"16";"16"
334;988;403;30;30;"7";"17";"17"
334;1025;403;30;30;"7";"18";"18"
334;1062;403;30;30;"7";"19";"19"
334;1122;403;30;30;"7";"20";"20"
334;1159;403;30;30;"7";"21";"21"
334;1196;403;30;30;"7";"22";"22"
334;1233;403;30;30;"7";"23";"23"
334;1270;403;30;30;"7";"24";"24"
334;1307;403;30;30;"7";"25";"25"
334;1344;403;30;30;"7";"26";"26"
334;1381;403;30;30;"7";"27";"27"
334;1418;403;30;30;"7";"28";"28"
334;1455;403;30;30;"7";"29";"29"
334;1491;403;30;30;"7";"30";"30"
334;1528;403;30;30;"7";"31";"31"
334;1565;403;30;30;"7";"32";"32"
334;1602;403;30;30;"7";"33";"33"
334;1639;403;30;30;"7";"34";"34"
334;1676;403;30;30;"7";"35";"35"
334;1713;403;30;30;"7";"36";"36"
334;397;440;30;30;"8";"1";"1"
334;434;440;30;30;"8";"2";"2"
334;471;440;30;30;"8";"3";"3"
334;508;440;30;30;"8";"4";"4"
334;545;440;30;30;"8";"5";"5"
334;582;440;30;30;"8";"6";"6"
334;619;440;30;30;"8";"7";"7"
334;656;440;30;30;"8";"8";"8"
334;693;440;30;30;"8";"9";"9"
334;729;440;30;30;"8";"10";"10"
334;766;440;30;30;"8";"11";"11"
334;803;440;30;30;"8";"12";"12"
334;840;440;30;30;"8";"13";"13"
334;877;440;30;30;"8";"14";"14"
334;914;440;30;30;"8";"15";"15"
334;951;440;30;30;"8";"16";"16"
334;988;440;30;30;"8";"17";"17"
334;1025;440;30;30;"8";"18";"18"
334;1062;440;30;30;"8";"19";"19"
334;1122;440;30;30;"8";"20";"20"
334;1159;440;30;30;"8";"21";"21"
334;1196;440;30;30;"8";"22";"22"
334;1233;440;30;30;"8";"23";"23"
334;1270;440;30;30;"8";"24";"24"
334;1307;440;30;30;"8";"25";"25"
334;1344;440;30;30;"8";"26";"26"
334;1381;440;30;30;"8";"27";"27"
334;1418;440;30;30;"8";"28";"28"
334;1455;440;30;30;"8";"29";"29"
334;1491;440;30;30;"8";"30";"30"
334;1528;440;30;30;"8";"31";"31"
334;1565;440;30;30;"8";"32";"32"
334;1602;440;30;30;"8";"33";"33"
334;1639;440;30;30;"8";"34";"34"
334;1676;440;30;30;"8";"35";"35"
334;1713;440;30;30;"8";"36";"36"
334;397;477;30;30;"9";"1";"1"
334;434;477;30;30;"9";"2";"2"
334;471;477;30;30;"9";"3";"3"
334;508;477;30;30;"9";"4";"4"
334;545;477;30;30;"9";"5";"5"
334;582;477;30;30;"9";"6";"6"
334;619;477;30;30;"9";"7";"7"
334;656;477;30;30;"9";"8";"8"
334;693;477;30;30;"9";"9";"9"
334;729;477;30;30;"9";"10";"10"
334;766;477;30;30;"9";"11";"11"
334;803;477;30;30;"9";"12";"12"
334;840;477;30;30;"9";"13";"13"
334;877;477;30;30;"9";"14";"14"
334;914;477;30;30;"9";"15";"15"
334;951;477;30;30;"9";"16";"16"
334;988;477;30;30;"9";"17";"17"
334;1025;477;30;30;"9";"18";"18"
334;1062;477;30;30;"9";"19";"19"
334;1122;477;30;30;"9";"20";"20"
334;1159;477;30;30;"9";"21";"21"
