"zone";"cx";"cy";"width";"height";"row";"col";"text"
166;167;252;36;36;"1";"1";"1"
166;213;252;36;36;"1";"2";"2"
166;259;252;36;36;"1";"3";"3"
166;305;252;36;36;"1";"4";"4"
166;351;252;36;36;"1";"5";"5"
166;397;252;36;36;"1";"6";"6"
166;443;252;36;36;"1";"7";"7"
166;489;252;36;36;"1";"8";"8"
166;535;252;36;36;"1";"9";"9"
166;765;252;36;36;"1";"10";"10"
166;811;252;36;36;"1";"11";"11"
166;857;252;36;36;"1";"12";"12"
166;903;252;36;36;"1";"13";"13"
166;949;252;36;36;"1";"14";"14"
166;995;252;36;36;"1";"15";"15"
166;1041;252;36;36;"1";"16";"16"
166;1087;252;36;36;"1";"17";"17"
166;1133;252;36;36;"1";"18";"18"
166;1179;252;36;36;"1";"19";"19"
166;1225;252;36;36;"1";"20";"20"
166;1271;252;36;36;"1";"21";"21"
166;1317;252;36;36;"1";"22";"22"
166;1363;252;36;36;"1";"23";"23"
166;1409;252;36;36;"1";"24";"24"
166;1455;252;36;36;"1";"25";"25"
166;1501;252;36;36;"1";"26";"26"
166;1547;252;36;36;"1";"27";"27"
166;1777;252;36;36;"1";"28";"28"
166;1823;252;36;36;"1";"29";"29"
166;1869;252;36;36;"1";"30";"30"
166;1915;252;36;36;"1";"31";"31"
166;1961;252;36;36;"1";"32";"32"
166;2007;252;36;36;"1";"33";"33"
166;2053;252;36;36;"1";"34";"34"
166;2099;252;36;36;"1";"35";"35"
166;2145;252;36;36;"1";"36";"36"
166;167;302;36;36;"2";"1";"1"
166;213;302;36;36;"2";"2";"2"
166;259;302;36;36;"2";"3";"3"
166;305;302;36;36;"2";"4";"4"
166;351;302;36;36;"2";"5";"5"
166;397;302;36;36;"2";"6";"6"
166;443;302;36;36;"2";"7";"7"
166;489;302;36;36;"2";"8";"8"
166;535;302;36;36;"2";"9";"9"
166;765;302;36;36;"2";"10";"10"
166;811;302;36;36;"2";"11";"11"
166;857;302;36;36;"2";"12";"12"
166;903;302;36;36;"2";"13";"13"
166;949;302;36;36;"2";"14";"14"
166;995;302;36;36;"2";"15";"15"
166;1041;302;36;36;"2";"16";"16"
166;1087;302;36;36;"2";"17";"17"
166;1133;302;36;36;"2";"18";"18"
166;1179;302;36;36;"2";"19";"19"
166;1225;302;36;36;"2";"20";"20"
166;1271;302;36;36;"2";"21";"21"
166;1317;302;36;36;"2";"22";"22"
166;1363;302;36;36;"2";"23";"23"
166;1409;302;36;36;"2";"24";"24"
166;1455;302;36;36;"2";"25";"25"
166;1501;302;36;36;"2";"26";"26"
166;1547;302;36;36;"2";"27";"27"
166;1777;302;36;36;"2";"28";"28"
166;1823;302;36;36;"2";"29";"29"
166;1869;302;36;36;"2";"30";"30"
166;1915;302;36;36;"2";"31";"31"
166;1961;302;36;36;"2";"32";"32"
166;2007;302;36;36;"2";"33";"33"
166;2053;302;36;36;"2";"34";"34"
166;2099;302;36;36;"2";"35";"35"
166;2145;302;36;36;"2";"36";"36"
166;167;352;36;36;"3";"1";"1"
166;213;352;36;36;"3";"2";"2"
166;259;352;36;36;"3";"3";"3"
166;305;352;36;36;"3";"4";"4"
