zone;cx;cy;width;height;row;col;text
119;632;523;20;20;20;22;22
119;610;523;20;20;20;23;23
119;589;523;20;20;20;24;24
119;1094;523;20;20;20;3;3
119;1072;523;20;20;20;4;4
119;1051;523;20;20;20;5;5
119;1030;523;20;20;20;6;6
119;1009;523;20;20;20;7;7
119;987;523;20;20;20;8;8
119;966;523;20;20;20;9;9
119;1138;491;20;20;21;1;1
119;945;491;20;20;21;10;10
119;924;491;20;20;21;11;11
119;903;491;20;20;21;12;12
119;823;491;20;20;21;13;13
119;801;491;20;20;21;14;14
119;780;491;20;20;21;15;15
119;759;491;20;20;21;16;16
119;738;491;20;20;21;17;17
119;716;491;20;20;21;18;18
119;695;491;20;20;21;19;19
119;1116;491;20;20;21;2;2
119;674;491;20;20;21;20;20
119;653;491;20;20;21;21;21
119;632;491;20;20;21;22;22
119;610;491;20;20;21;23;23
119;589;491;20;20;21;24;24
119;1094;491;20;20;21;3;3
119;1072;491;20;20;21;4;4
119;1051;491;20;20;21;5;5
119;1030;491;20;20;21;6;6
119;1009;491;20;20;21;7;7
119;987;491;20;20;21;8;8
119;966;491;20;20;21;9;9
119;1138;458;20;20;22;1;1
119;945;458;20;20;22;10;10
119;924;458;20;20;22;11;11
119;903;458;20;20;22;12;12
119;823;458;20;20;22;13;13
119;801;458;20;20;22;14;14
119;780;458;20;20;22;15;15
119;759;458;20;20;22;16;16
119;738;458;20;20;22;17;17
119;716;458;20;20;22;18;18
119;695;458;20;20;22;19;19
119;1116;458;20;20;22;2;2
119;674;458;20;20;22;20;20
119;653;458;20;20;22;21;21
119;632;458;20;20;22;22;22
119;610;458;20;20;22;23;23
119;589;458;20;20;22;24;24
119;1094;458;20;20;22;3;3
119;1072;458;20;20;22;4;4
119;1051;458;20;20;22;5;5
119;1030;458;20;20;22;6;6
119;1009;458;20;20;22;7;7
119;987;458;20;20;22;8;8
119;966;458;20;20;22;9;9
119;1137;424;20;20;23;1;1
119;944;424;20;20;23;10;10
119;923;424;20;20;23;11;11
119;902;424;20;20;23;12;12
119;823;425;20;20;23;13;13
119;801;425;20;20;23;14;14
119;780;425;20;20;23;15;15
