"zone";"cx";"cy";"width";"height";"row";"col";"text"
"Партер";764,0;1032,0;30,0;30,0;"21";"7";"7"
"Партер";801,0;1032,0;30,0;30,0;"21";"8";"8"
"Партер";838,0;1032,0;30,0;30,0;"21";"9";"9"
"Партер";874,0;1032,0;30,0;30,0;"21";"10";"10"
"Партер";911,0;1032,0;30,0;30,0;"21";"11";"11"
"Партер";948,0;1032,0;30,0;30,0;"21";"12";"12"
"Партер";985,0;1032,0;30,0;30,0;"21";"13";"13"
"Партер";1022,0;1032,0;30,0;30,0;"21";"14";"14"
"Партер";1059,0;1032,0;30,0;30,0;"21";"15";"15"
"Партер";1122,0;1032,0;30,0;30,0;"21";"16";"16"
"Партер";1159,0;1032,0;30,0;30,0;"21";"17";"17"
"Партер";1196,0;1032,0;30,0;30,0;"21";"18";"18"
"Партер";1233,0;1032,0;30,0;30,0;"21";"19";"19"
"Партер";1269,0;1032,0;30,0;30,0;"21";"20";"20"
"Партер";1306,0;1032,0;30,0;30,0;"21";"21";"21"
"Партер";1343,0;1032,0;30,0;30,0;"21";"22";"22"
"Партер";1380,0;1032,0;30,0;30,0;"21";"23";"23"
"Партер";1417,0;1032,0;30,0;30,0;"21";"24";"24"
"Партер";1454,0;1032,0;30,0;30,0;"21";"25";"25"
"Партер";1491,0;1032,0;30,0;30,0;"21";"26";"26"
"Партер";1528,0;1032,0;30,0;30,0;"21";"27";"27"
"Партер";1565,0;1032,0;30,0;30,0;"21";"28";"28"
"Партер";541,0;1068,0;30,0;30,0;"23";"1";"1"
"Партер";578,0;1068,0;30,0;30,0;"23";"2";"2"
"Партер";615,0;1068,0;30,0;30,0;"23";"3";"3"
"Партер";652,0;1068,0;30,0;30,0;"23";"4";"4"
"Партер";689,0;1068,0;30,0;30,0;"23";"5";"5"
"Партер";726,0;1068,0;30,0;30,0;"23";"6";"6"
"Партер";763,0;1068,0;30,0;30,0;"23";"7";"7"
"Партер";800,0;1068,0;30,0;30,0;"23";"8";"8"
"Партер";837,0;1068,0;30,0;30,0;"23";"9";"9"
"Партер";871,0;1068,0;30,0;30,0;"23";"10";"10"
"Партер";908,0;1068,0;30,0;30,0;"23";"11";"11"
"Партер";947,0;1068,0;30,0;30,0;"23";"12";"12"
"Партер";984,0;1068,0;30,0;30,0;"23";"13";"13"
"Партер";1021,0;1068,0;30,0;30,0;"23";"14";"14"
"Партер";1058,0;1068,0;30,0;30,0;"23";"15";"15"
"Партер";1124,0;1068,0;30,0;30,0;"23";"16";"16"
"Партер";1161,0;1068,0;30,0;30,0;"23";"17";"17"
"Партер";1198,0;1068,0;30,0;30,0;"23";"18";"18"
"Партер";1235,0;1068,0;30,0;30,0;"23";"19";"19"
"Партер";1270,0;1068,0;30,0;30,0;"23";"20";"20"
"Партер";1307,0;1068,0;30,0;30,0;"23";"21";"21"
"Партер";1344,0;1068,0;30,0;30,0;"23";"22";"22"
"Партер";1381,0;1068,0;30,0;30,0;"23";"23";"23"
"Партер";1418,0;1068,0;30,0;30,0;"23";"24";"24"
"Партер";1455,0;1068,0;30,0;30,0;"23";"25";"25"
"Партер";1492,0;1068,0;30,0;30,0;"23";"26";"26"
"Партер";1529,0;1068,0;30,0;30,0;"23";"27";"27"
"Партер";1566,0;1068,0;30,0;30,0;"23";"28";"28"
"Балкон (лівий)";1089,0;24,0;1450,0;150,0;"";"";"СЦЕНА"
"Партер";397,0;181,0;30,0;30,0;"1";"1";"1"
"Партер";434,0;181,0;30,0;30,0;"1";"2";"2"
"Партер";471,0;181,0;30,0;30,0;"1";"3";"3"
"Партер";508,0;181,0;30,0;30,0;"1";"4";"4"
"Партер";545,0;181,0;30,0;30,0;"1";"5";"5"
"Партер";582,0;181,0;30,0;30,0;"1";"6";"6"
"Партер";619,0;181,0;30,0;30,0;"1";"7";"7"
"Партер";656,0;181,0;30,0;30,0;"1";"8";"8"
"Партер";693,0;181,0;30,0;30,0;"1";"9";"9"
"Партер";729,0;181,0;30,0;30,0;"1";"10";"10"
"Партер";766,0;181,0;30,0;30,0;"1";"11";"11"
"Партер";803,0;181,0;30,0;30,0;"1";"12";"12"
"Партер";840,0;181,0;30,0;30,0;"1";"13";"13"
"Партер";877,0;181,0;30,0;30,0;"1";"14";"14"
"Партер";914,0;181,0;30,0;30,0;"1";"15";"15"
"Партер";951,0;181,0;30,0;30,0;"1";"16";"16"
"Партер";988,0;181,0;30,0;30,0;"1";"17";"17"
"Партер";1025,0;181,0;30,0;30,0;"1";"18";"18"
"Партер";1062,0;181,0;30,0;30,0;"1";"19";"19"
"Партер";1122,0;181,0;30,0;30,0;"1";"20";"20"
"Партер";1159,0;181,0;30,0;30,0;"1";"21";"21"
"Партер";1196,0;181,0;30,0;30,0;"1";"22";"22"
