zone;cx;cy;width;height;row;col;text
113;1152;634;28;28;16;7;7
113;1121;634;28;28;16;8;8
113;1090;634;28;28;16;9;9
113;1307;606;28;28;17;1;1
113;1028;606;28;28;17;10;10
113;997;606;28;28;17;11;11
113;816;606;28;28;17;12;12
113;785;606;28;28;17;13;13
113;754;606;28;28;17;14;14
113;723;606;28;28;17;15;15
113;692;606;28;28;17;16;16
113;661;606;28;28;17;17;17
113;630;606;28;28;17;18;18
113;599;606;28;28;17;19;19
113;1276;606;28;28;17;2;2
113;568;606;28;28;17;20;20
113;537;606;28;28;17;21;21
113;506;606;28;28;17;22;22
113;1245;606;28;28;17;3;3
113;1214;606;28;28;17;4;4
113;1183;606;28;28;17;5;5
113;1152;606;28;28;17;6;6
113;1121;606;28;28;17;7;7
113;1090;606;28;28;17;8;8
113;1059;606;28;28;17;9;9
113;1369;577;28;28;18;1;1
113;1090;577;28;28;18;10;10
113;1059;577;28;28;18;11;11
113;1028;577;28;28;18;12;12
113;997;577;28;28;18;13;13
113;966;577;28;28;18;14;14
113;848;577;28;28;18;15;15
113;816;577;28;28;18;16;16
113;785;577;28;28;18;17;17
113;754;577;28;28;18;18;18
113;723;577;28;28;18;19;19
113;1338;577;28;28;18;2;2
113;692;577;28;28;18;20;20
113;661;577;28;28;18;21;21
113;630;577;28;28;18;22;22
113;599;577;28;28;18;23;23
113;568;577;28;28;18;24;24
113;537;577;28;28;18;25;25
113;506;577;28;28;18;26;26
113;475;577;28;28;18;27;27
113;444;577;28;28;18;28;28
113;1307;577;28;28;18;3;3
113;1276;577;28;28;18;4;4
113;1245;577;28;28;18;5;5
113;1214;577;28;28;18;6;6
113;1183;577;28;28;18;7;7
113;1152;577;28;28;18;8;8
113;1121;577;28;28;18;9;9
113;1369;1054;28;28;2;1;1
113;1090;1054;28;28;2;10;10
113;1059;1054;28;28;2;11;11
113;1028;1054;28;28;2;12;12
113;997;1054;28;28;2;13;13
113;966;1054;28;28;2;14;14
113;848;1054;28;28;2;15;15
113;816;1054;28;28;2;16;16
113;785;1054;28;28;2;17;17
113;754;1054;28;28;2;18;18
113;723;1054;28;28;2;19;19
113;1338;1054;28;28;2;2;2
113;692;1054;28;28;2;20;20
113;661;1054;28;28;2;21;21
113;630;1054;28;28;2;22;22
113;599;1054;28;28;2;23;23
113;568;1054;28;28;2;24;24
113;537;1054;28;28;2;25;25
113;506;1054;28;28;2;26;26
113;475;1054;28;28;2;27;27
113;444;1054;28;28;2;28;28
113;1307;1054;28;28;2;3;3
113;1276;1054;28;28;2;4;4
113;1245;1054;28;28;2;5;5
113;1214;1054;28;28;2;6;6
113;1183;1054;28;28;2;7;7
113;1152;1054;28;28;2;8;8
113;1121;1054;28;28;2;9;9
113;1400;1026;28;28;3;1;1
113;1121;1026;28;28;3;10;10
113;1090;1026;28;28;3;11;11
113;1059;1026;28;28;3;12;12
113;1028;1026;28;28;3;13;13
113;997;1026;28;28;3;14;14
113;966;1026;28;28;3;15;15
113;848;1026;28;28;3;16;16
