"zone";"cx";"cy";"width";"height";"row";"col";"text"
328;806;71;30;30;"1";"1";"1"
328;806;108;30;30;"1";"2";"2"
328;806;145;30;30;"1";"3";"3"
328;806;182;30;30;"1";"4";"4"
328;806;219;30;30;"1";"5";"5"
328;805;256;30;30;"1";"6";"6"
328;805;293;30;30;"1";"7";"7"
328;805;330;30;30;"1";"8";"8"
328;805;367;30;30;"1";"9";"9"
328;805;404;30;30;"1";"10";"10"
328;805;441;30;30;"1";"11";"11"
328;805;478;30;30;"1";"12";"12"
328;805;515;30;30;"1";"13";"13"
328;805;552;30;30;"1";"14";"14"
328;805;589;30;30;"1";"15";"15"
328;805;626;30;30;"1";"16";"16"
328;805;663;30;30;"1";"17";"17"
328;805;700;30;30;"1";"18";"18"
328;805;737;30;30;"1";"19";"19"
328;805;774;30;30;"1";"20";"20"
328;769;71;30;30;"2";"1";"1"
328;769;108;30;30;"2";"2";"2"
328;769;145;30;30;"2";"3";"3"
328;769;182;30;30;"2";"4";"4"
328;769;219;30;30;"2";"5";"5"
328;768;256;30;30;"2";"6";"6"
328;768;293;30;30;"2";"7";"7"
328;768;330;30;30;"2";"8";"8"
328;768;367;30;30;"2";"9";"9"
328;768;404;30;30;"2";"10";"10"
328;768;441;30;30;"2";"11";"11"
328;768;478;30;30;"2";"12";"12"
328;768;515;30;30;"2";"13";"13"
328;768;552;30;30;"2";"14";"14"
328;768;589;30;30;"2";"15";"15"
328;768;626;30;30;"2";"16";"16"
328;768;663;30;30;"2";"17";"17"
328;768;700;30;30;"2";"18";"18"
328;768;737;30;30;"2";"19";"19"
328;768;774;30;30;"2";"20";"20"
328;732;71;30;30;"3";"1";"1"
328;732;108;30;30;"3";"2";"2"
328;732;145;30;30;"3";"3";"3"
328;732;182;30;30;"3";"4";"4"
328;732;219;30;30;"3";"5";"5"
328;731;256;30;30;"3";"6";"6"
328;731;293;30;30;"3";"7";"7"
328;731;330;30;30;"3";"8";"8"
328;731;367;30;30;"3";"9";"9"
328;731;404;30;30;"3";"10";"10"
328;731;441;30;30;"3";"11";"11"
328;731;478;30;30;"3";"12";"12"
328;731;515;30;30;"3";"13";"13"
328;731;552;30;30;"3";"14";"14"
328;731;589;30;30;"3";"15";"15"
328;731;626;30;30;"3";"16";"16"
328;731;663;30;30;"3";"17";"17"
328;731;700;30;30;"3";"18";"18"
328;731;737;30;30;"3";"19";"19"
328;731;774;30;30;"3";"20";"20"
328;695;71;30;30;"4";"1";"1"
328;695;108;30;30;"4";"2";"2"
328;695;145;30;30;"4";"3";"3"
328;695;182;30;30;"4";"4";"4"
328;695;219;30;30;"4";"5";"5"
328;694;256;30;30;"4";"6";"6"
328;694;293;30;30;"4";"7";"7"
328;694;330;30;30;"4";"8";"8"
328;694;367;30;30;"4";"9";"9"
328;694;404;30;30;"4";"10";"10"
328;694;441;30;30;"4";"11";"11"
328;694;478;30;30;"4";"12";"12"
328;694;515;30;30;"4";"13";"13"
328;694;552;30;30;"4";"14";"14"
328;694;589;30;30;"4";"15";"15"
328;694;626;30;30;"4";"16";"16"
328;694;663;30;30;"4";"17";"17"
328;694;700;30;30;"4";"18";"18"
328;694;737;30;30;"4";"19";"19"
328;694;774;30;30;"4";"20";"20"
328;658;71;30;30;"5";"1";"1"
328;658;108;30;30;"5";"2";"2"
328;658;145;30;30;"5";"3";"3"
328;658;182;30;30;"5";"4";"4"
328;658;219;30;30;"5";"5";"5"
328;657;256;30;30;"5";"6";"6"
328;657;293;30;30;"5";"7";"7"
328;657;330;30;30;"5";"8";"8"
328;657;367;30;30;"5";"9";"9"
328;657;404;30;30;"5";"10";"10"
328;657;441;30;30;"5";"11";"11"
328;657;478;30;30;"5";"12";"12"
328;657;515;30;30;"5";"13";"13"
328;657;552;30;30;"5";"14";"14"
328;657;589;30;30;"5";"15";"15"
328;657;626;30;30;"5";"16";"16"
328;657;663;30;30;"5";"17";"17"
328;657;700;30;30;"5";"18";"18"
328;657;737;30;30;"5";"19";"19"
328;657;774;30;30;"5";"20";"20"
328;621;71;30;30;"6";"1";"1"
328;621;108;30;30;"6";"2";"2"
328;621;145;30;30;"6";"3";"3"
328;621;182;30;30;"6";"4";"4"
328;621;219;30;30;"6";"5";"5"
328;620;256;30;30;"6";"6";"6"
328;620;293;30;30;"6";"7";"7"
328;620;330;30;30;"6";"8";"8"
328;620;367;30;30;"6";"9";"9"
328;620;404;30;30;"6";"10";"10"
328;620;441;30;30;"6";"11";"11"
328;620;478;30;30;"6";"12";"12"
328;620;515;30;30;"6";"13";"13"
328;620;552;30;30;"6";"14";"14"
328;620;589;30;30;"6";"15";"15"
328;620;626;30;30;"6";"16";"16"
328;620;663;30;30;"6";"17";"17"
328;620;700;30;30;"6";"18";"18"
328;620;737;30;30;"6";"19";"19"
328;620;774;30;30;"6";"20";"20"
328;584;71;30;30;"7";"1";"1"
328;584;108;30;30;"7";"2";"2"
328;584;145;30;30;"7";"3";"3"
328;584;182;30;30;"7";"4";"4"
328;584;219;30;30;"7";"5";"5"
328;583;256;30;30;"7";"6";"6"
328;583;293;30;30;"7";"7";"7"
328;583;330;30;30;"7";"8";"8"
328;583;367;30;30;"7";"9";"9"
328;583;404;30;30;"7";"10";"10"
328;583;441;30;30;"7";"11";"11"
328;583;478;30;30;"7";"12";"12"
328;583;515;30;30;"7";"13";"13"
328;583;552;30;30;"7";"14";"14"
328;583;589;30;30;"7";"15";"15"
328;583;626;30;30;"7";"16";"16"
328;583;663;30;30;"7";"17";"17"
328;583;700;30;30;"7";"18";"18"
328;583;737;30;30;"7";"19";"19"
328;583;774;30;30;"7";"20";"20"
329;1113;776;30;30;"1";"20";"20"
329;1113;739;30;30;"1";"19";"19"
329;1113;702;30;30;"1";"18";"18"
329;1113;665;30;30;"1";"17";"17"
329;1113;628;30;30;"1";"16";"16"
329;1112;591;30;30;"1";"15";"15"
329;1112;554;30;30;"1";"14";"14"
329;1112;517;30;30;"1";"13";"13"
329;1112;480;30;30;"1";"12";"12"
