"zone";"cx";"cy";"width";"height";"row";"col";"text"
"VIP FAN";181,0;710,0;268,0;689,0;null;null;"VIP FAN"
"FAN";1151,0;713,0;1230,0;974,0;null;null;"FAN"
"Ранній вхід";1851,0;711,0;147,0;975,0;null;null;"Ранний вход"
"title";0,0;0,0;14,0;14,0;null;null;"title"
"VIP";838,0;1285,0;22,0;22,0;"2";"61";"61"
"VIP";861,0;1298,0;22,0;22,0;"2";"62";"62"
"VIP";888,0;1315,0;20,0;20,0;"2";"63";"63"
"VIP";912,0;1328,0;22,0;22,0;"2";"64";"64"
"VIP";1051,0;1374,0;22,0;22,0;"2";"65";"65"
"VIP";1077,0;1374,0;22,0;22,0;"2";"66";"66"
"VIP";1111,0;1374,0;22,0;22,0;"2";"67";"67"
"VIP";1137,0;1374,0;22,0;22,0;"2";"68";"68"
"VIP";1171,0;1374,0;22,0;22,0;"2";"69";"69"
"VIP";1197,0;1374,0;22,0;22,0;"2";"70";"70"
"VIP";1231,0;1374,0;22,0;22,0;"2";"71";"71"
"VIP";1257,0;1374,0;22,0;22,0;"2";"72";"72"
"VIP";1291,0;1374,0;22,0;22,0;"2";"73";"73"
"VIP";1317,0;1374,0;22,0;22,0;"2";"74";"74"
"VIP";1351,0;1374,0;22,0;22,0;"2";"75";"75"
"VIP";1377,0;1374,0;22,0;22,0;"2";"76";"76"
"VIP";1411,0;1374,0;22,0;22,0;"2";"77";"77"
"VIP";1437,0;1374,0;22,0;22,0;"2";"78";"78"
"VIP";1471,0;1374,0;22,0;22,0;"2";"79";"79"
"VIP";1497,0;1374,0;22,0;22,0;"2";"80";"80"
"VIP";1529,0;1374,0;22,0;22,0;"2";"81";"81"
"VIP";1555,0;1374,0;22,0;22,0;"2";"82";"82"
"VIP";1589,0;1374,0;22,0;22,0;"2";"83";"83"
"VIP";1615,0;1374,0;22,0;22,0;"2";"84";"84"
"VIP";1649,0;1374,0;22,0;22,0;"2";"85";"85"
"VIP";1675,0;1374,0;22,0;22,0;"2";"86";"86"
"VIP";1709,0;1374,0;22,0;22,0;"2";"87";"87"
"VIP";1735,0;1374,0;22,0;22,0;"2";"88";"88"
"VIP";1769,0;1374,0;22,0;22,0;"2";"89";"89"
"VIP";1795,0;1374,0;22,0;22,0;"2";"90";"90"
"VIP";1829,0;1374,0;22,0;22,0;"2";"91";"91"
"VIP";1855,0;1374,0;22,0;22,0;"2";"92";"92"
"VIP";828,0;61,0;22,0;22,0;"3";"1";"1"
"VIP";805,0;74,0;22,0;22,0;"3";"2";"2"
"VIP";776,0;91,0;22,0;22,0;"3";"3";"3"
"VIP";753,0;104,0;22,0;22,0;"3";"4";"4"
