"zone";"cx";"cy";"width";"height";"row";"col";"text"
162;1107;1180;18;18;"1";"149";"149"
162;1122;1181;18;18;"1";"150";"150"
162;1105;1138;18;18;"1";"151";"151"
162;1125;1138;18;18;"1";"152";"152"
162;1150;1180;18;18;"1";"153";"153"
162;1165;1181;18;18;"1";"154";"154"
162;1148;1138;18;18;"1";"155";"155"
162;1168;1138;18;18;"1";"156";"156"
162;1193;1180;18;18;"1";"157";"157"
162;1208;1181;18;18;"1";"158";"158"
162;1191;1138;18;18;"1";"159";"159"
162;1211;1138;18;18;"1";"160";"160"
162;1208;116;18;18;"2";"13";"13"
162;1193;116;18;18;"2";"14";"14"
162;1165;116;18;18;"2";"15";"15"
162;1149;116;18;18;"2";"16";"16"
162;1122;116;18;18;"2";"17";"17"
162;1106;116;18;18;"2";"18";"18"
162;1079;116;18;18;"2";"19";"19"
162;1063;116;18;18;"2";"20";"20"
162;1036;116;18;18;"2";"21";"21"
162;1020;116;18;18;"2";"22";"22"
162;991;116;18;18;"2";"23";"23"
162;976;116;18;18;"2";"24";"24"
162;950;116;18;18;"2";"25";"25"
162;934;116;18;18;"2";"26";"26"
162;907;116;18;18;"2";"27";"27"
162;891;116;18;18;"2";"28";"28"
162;702;159;18;18;"2";"29";"29"
162;690;165;18;18;"2";"30";"30"
162;664;179;18;18;"2";"31";"31"
162;652;185;18;18;"2";"32";"32"
162;510;260;18;18;"2";"39";"39"
162;472;280;18;18;"2";"41";"41"
162;460;286;18;18;"2";"42";"42"
162;498;266;18;18;"2";"40";"40"
162;434;300;18;18;"2";"43";"43"
162;422;306;18;18;"2";"44";"44"
162;396;320;18;18;"2";"45";"45"
162;384;326;18;18;"2";"46";"46"
162;381;1053;18;18;"2";"47";"47"
162;392;1058;18;18;"2";"48";"48"
162;419;1074;18;18;"2";"49";"49"
162;430;1079;18;18;"2";"50";"50"
162;1107;1250;18;18;"2";"75";"75"
162;1122;1250;18;18;"2";"76";"76"
162;1150;1250;18;18;"2";"77";"77"
162;1165;1250;18;18;"2";"78";"78"
162;1193;1250;18;18;"2";"79";"79"
162;1208;1250;18;18;"2";"80";"80"
162;405;182;18;18;"3";"9";"9"
162;393;188;18;18;"3";"10";"10"
162;367;202;18;18;"3";"11";"11"
162;355;208;18;18;"3";"12";"12"
162;329;222;18;18;"3";"13";"13"
162;317;228;18;18;"3";"14";"14"
162;291;242;18;18;"3";"15";"15"
162;279;248;18;18;"3";"16";"16"
162;275;1120;18;18;"3";"17";"17"
162;287;1125;18;18;"3";"18";"18"
162;313;1140;18;18;"3";"19";"19"
162;324;1146;18;18;"3";"20";"20"
162;465;1224;18;18;"3";"27";"27"
162;476;1229;18;18;"3";"28";"28"
162;503;1245;18;18;"3";"29";"29"
162;514;1250;18;18;"3";"30";"30"
162;540;1266;18;18;"3";"31";"31"
162;552;1271;18;18;"3";"32";"32"
165;304;500;18;18;"1";"1";"1"
165;284;500;18;18;"1";"2";"2"
165;265;507;18;18;"1";"3";"3"
165;265;526;18;18;"1";"4";"4"
165;265;546;18;18;"1";"5";"5"
165;265;568;18;18;"1";"6";"6"
165;282;580;18;18;"1";"7";"7"
165;303;580;18;18;"1";"8";"8"
165;337;653;18;18;"2";"1";"1"
165;317;653;18;18;"2";"2";"2"
165;298;661;18;18;"2";"3";"3"
165;297;680;18;18;"2";"4";"4"
165;297;699;18;18;"2";"5";"5"
165;298;719;18;18;"2";"6";"6"
165;313;733;18;18;"2";"7";"7"
165;333;733;18;18;"2";"8";"8"
165;308;805;18;18;"3";"1";"1"
165;288;805;18;18;"3";"2";"2"
165;269;813;18;18;"3";"3";"3"
165;268;833;18;18;"3";"4";"4"
165;268;853;18;18;"3";"5";"5"
165;269;873;18;18;"3";"6";"6"
165;287;884;18;18;"3";"7";"7"
165;306;885;18;18;"3";"8";"8"
162;1468;186;18;18;"1";"1";"1"
162;1452;186;18;18;"1";"2";"2"
162;1470;228;18;18;"1";"3";"3"
162;1450;228;18;18;"1";"4";"4"
162;1424;186;18;18;"1";"5";"5"
162;1409;186;18;18;"1";"6";"6"
162;1427;228;18;18;"1";"7";"7"
162;1407;228;18;18;"1";"8";"8"
162;1381;186;18;18;"1";"9";"9"
162;1366;186;18;18;"1";"10";"10"
162;1384;228;18;18;"1";"11";"11"
162;1363;228;18;18;"1";"12";"12"
162;1337;186;18;18;"1";"13";"13"
162;1322;186;18;18;"1";"14";"14"
162;1339;228;18;18;"1";"15";"15"
162;1319;228;18;18;"1";"16";"16"
162;1294;186;18;18;"1";"17";"17"
162;1279;186;18;18;"1";"18";"18"
162;1124;229;18;18;"1";"35";"35"
162;1104;229;18;18;"1";"36";"36"
162;1251;186;18;18;"1";"21";"21"
162;1236;186;18;18;"1";"22";"22"
162;1253;228;18;18;"1";"23";"23"
162;1233;228;18;18;"1";"24";"24"
162;706;250;18;18;"1";"61";"61"
162;694;256;18;18;"1";"62";"62"
162;730;285;18;18;"1";"63";"63"
162;712;295;18;18;"1";"64";"64"
162;669;271;18;18;"1";"65";"65"
162;657;277;18;18;"1";"66";"66"
162;692;306;18;18;"1";"67";"67"
162;674;316;18;18;"1";"68";"68"
162;630;292;18;18;"1";"69";"69"
162;618;298;18;18;"1";"70";"70"
