"zone";"cx";"cy";"width";"height";"row";"col";"text"
333;419;867;20;20;"1";"26";"26"
333;369;843;20;20;"1";"27";"27"
333;369;866;20;20;"1";"28";"28"
333;418;898;20;20;"1";"29";"29"
333;418;921;20;20;"1";"30";"30"
333;369;897;20;20;"1";"31";"31"
333;369;920;20;20;"1";"32";"32"
333;415;948;20;20;"1";"33";"33"
333;415;971;20;20;"1";"34";"34"
333;371;950;20;20;"1";"35";"35"
333;371;973;20;20;"1";"36";"36"
333;415;1002;20;20;"1";"37";"37"
333;415;1025;20;20;"1";"38";"38"
333;372;1000;20;20;"1";"39";"39"
333;372;1023;20;20;"1";"40";"40"
333;256;869;20;20;"2";"28";"28"
333;304;396;20;20;"2";"1";"1"
333;256;503;20;20;"2";"11";"11"
333;256;526;20;20;"2";"12";"12"
333;303;558;20;20;"2";"13";"13"
333;303;581;20;20;"2";"14";"14"
333;258;558;20;20;"2";"15";"15"
333;258;581;20;20;"2";"16";"16"
333;302;609;20;20;"2";"17";"17"
333;302;632;20;20;"2";"18";"18"
333;257;610;20;20;"2";"19";"19"
333;304;419;20;20;"2";"2";"2"
333;257;633;20;20;"2";"20";"20"
333;306;792;20;20;"2";"21";"21"
333;306;815;20;20;"2";"22";"22"
333;254;794;20;20;"2";"23";"23"
333;254;817;20;20;"2";"24";"24"
333;306;847;20;20;"2";"25";"25"
333;306;870;20;20;"2";"26";"26"
333;256;846;20;20;"2";"27";"27"
333;303;527;20;20;"2";"10";"10"
333;305;901;20;20;"2";"29";"29"
333;256;397;20;20;"2";"3";"3"
333;305;924;20;20;"2";"30";"30"
333;256;900;20;20;"2";"31";"31"
333;256;923;20;20;"2";"32";"32"
333;302;951;20;20;"2";"33";"33"
333;302;974;20;20;"2";"34";"34"
333;258;953;20;20;"2";"35";"35"
333;258;976;20;20;"2";"36";"36"
333;302;1005;20;20;"2";"37";"37"
333;302;1028;20;20;"2";"38";"38"
333;259;1003;20;20;"2";"39";"39"
333;256;420;20;20;"2";"4";"4"
333;259;1026;20;20;"2";"40";"40"
333;304;449;20;20;"2";"5";"5"
333;304;472;20;20;"2";"6";"6"
333;258;452;20;20;"2";"7";"7"
333;258;475;20;20;"2";"8";"8"
333;303;504;20;20;"2";"9";"9"
333;152;870;20;20;"3";"28";"28"
333;200;397;20;20;"3";"1";"1"
333;152;504;20;20;"3";"11";"11"
333;152;527;20;20;"3";"12";"12"
333;199;559;20;20;"3";"13";"13"
333;199;582;20;20;"3";"14";"14"
333;154;559;20;20;"3";"15";"15"
333;154;582;20;20;"3";"16";"16"
333;198;610;20;20;"3";"17";"17"
333;198;633;20;20;"3";"18";"18"
333;153;611;20;20;"3";"19";"19"
333;200;420;20;20;"3";"2";"2"
333;153;634;20;20;"3";"20";"20"
333;202;793;20;20;"3";"21";"21"
333;202;816;20;20;"3";"22";"22"
333;150;795;20;20;"3";"23";"23"
333;150;818;20;20;"3";"24";"24"
333;202;848;20;20;"3";"25";"25"
333;202;871;20;20;"3";"26";"26"
333;152;847;20;20;"3";"27";"27"
333;199;528;20;20;"3";"10";"10"
333;201;902;20;20;"3";"29";"29"
333;152;398;20;20;"3";"3";"3"
333;201;925;20;20;"3";"30";"30"
333;152;901;20;20;"3";"31";"31"
333;152;924;20;20;"3";"32";"32"
333;198;952;20;20;"3";"33";"33"
333;198;975;20;20;"3";"34";"34"
333;154;954;20;20;"3";"35";"35"
333;154;977;20;20;"3";"36";"36"
333;198;1006;20;20;"3";"37";"37"
333;198;1029;20;20;"3";"38";"38"
333;155;1004;20;20;"3";"39";"39"
333;152;421;20;20;"3";"4";"4"
333;155;1027;20;20;"3";"40";"40"
333;200;450;20;20;"3";"5";"5"
333;200;473;20;20;"3";"6";"6"
333;154;453;20;20;"3";"7";"7"
333;154;476;20;20;"3";"8";"8"
333;199;505;20;20;"3";"9";"9"
332;1008;712;800;700;" ";" ";332
333;417;393;20;20;"1";"1";"1"
333;417;416;20;20;"1";"2";"2"
333;369;394;20;20;"1";"3";"3"
333;369;417;20;20;"1";"4";"4"
333;417;446;20;20;"1";"5";"5"
333;417;469;20;20;"1";"6";"6"
333;371;449;20;20;"1";"7";"7"
333;371;472;20;20;"1";"8";"8"
333;416;501;20;20;"1";"9";"9"
333;416;524;20;20;"1";"10";"10"
333;369;500;20;20;"1";"11";"11"
333;369;523;20;20;"1";"12";"12"
333;416;555;20;20;"1";"13";"13"
333;416;578;20;20;"1";"14";"14"
333;371;555;20;20;"1";"15";"15"
333;371;578;20;20;"1";"16";"16"
333;415;606;20;20;"1";"17";"17"
333;415;629;20;20;"1";"18";"18"
333;370;607;20;20;"1";"19";"19"
333;370;630;20;20;"1";"20";"20"
333;419;789;20;20;"1";"21";"21"
333;419;812;20;20;"1";"22";"22"
333;367;791;20;20;"1";"23";"23"
333;367;814;20;20;"1";"24";"24"
333;419;844;20;20;"1";"25";"25"
