"zone";"cx";"cy";"width";"height";"row";"col";"text"
131;272;811;14;14;"2";"1";"1"
131;293;821;14;14;"2";"2";"2"
131;311;831;14;14;"2";"3";"3"
131;330;838;14;14;"2";"4";"4"
131;350;846;14;14;"2";"5";"5"
131;369;852;14;14;"2";"6";"6"
131;390;860;14;14;"2";"7";"7"
131;410;866;14;14;"2";"8";"8"
131;338;866;14;14;"3";"1";"1"
131;359;875;14;14;"3";"2";"2"
131;380;880;14;14;"3";"3";"3"
131;401;886;14;14;"3";"4";"4"
130;129;636;14;14;"1";"1";"1"
130;140;655;14;14;"1";"2";"2"
130;152;674;14;14;"1";"3";"3"
130;164;691;14;14;"1";"4";"4"
130;176;705;14;14;"1";"5";"5"
130;113;645;14;14;"2";"1";"1"
130;122;663;14;14;"2";"2";"2"
130;147;704;14;14;"2";"3";"3"
130;159;720;14;14;"2";"4";"4"
129;77;480;14;14;"1";"1";"1"
129;82;501;14;14;"1";"2";"2"
129;87;522;14;14;"1";"3";"3"
129;93;542;14;14;"1";"4";"4"
129;100;561;14;14;"1";"5";"5"
129;58;482;14;14;"2";"1";"1"
129;62;501;14;14;"2";"2";"2"
129;75;550;14;14;"2";"3";"3"
129;82;570;14;14;"2";"4";"4"
128;140;211;14;14;"1";"1";"1"
128;128;229;14;14;"1";"2";"2"
128;118;246;14;14;"1";"3";"3"
128;112;264;14;14;"1";"4";"4"
128;104;286;14;14;"1";"5";"5"
128;97;307;14;14;"1";"6";"6"
128;89;328;14;14;"1";"7";"7"
128;85;352;14;14;"1";"8";"8"
128;81;375;14;14;"1";"9";"9"
128;77;399;14;14;"1";"10";"10"
127;752;377;14;14;"2";"44";"44"
127;747;359;14;14;"2";"45";"45"
127;741;342;14;14;"2";"46";"46"
127;733;324;14;14;"2";"47";"47"
127;724;306;14;14;"2";"48";"48"
127;713;290;14;14;"2";"49";"49"
127;703;276;14;14;"2";"50";"50"
123;371;576;14;14;"12";"1";"1"
123;387;576;14;14;"12";"2";"2"
123;404;576;14;14;"12";"3";"3"
123;420;576;14;14;"12";"4";"4"
123;437;576;14;14;"12";"5";"5"
123;453;576;14;14;"12";"6";"6"
123;470;576;14;14;"12";"7";"7"
123;486;576;14;14;"12";"8";"8"
123;526;577;14;14;"12";"9";"9"
123;542;577;14;14;"12";"10";"10"
123;559;577;14;14;"12";"11";"11"
123;575;577;14;14;"12";"12";"12"
123;592;577;14;14;"12";"13";"13"
123;608;577;14;14;"12";"14";"14"
123;625;577;14;14;"12";"15";"15"
123;641;577;14;14;"12";"16";"16"
127;736;381;14;14;"1";"38";"38"
127;731;364;14;14;"1";"39";"39"
127;726;348;14;14;"1";"40";"40"
127;717;332;14;14;"1";"41";"41"
127;709;315;14;14;"1";"42";"42"
127;699;300;14;14;"1";"43";"43"
127;690;287;14;14;"1";"44";"44"
127;678;273;14;14;"1";"45";"45"
127;666;261;14;14;"1";"46";"46"
141;774;658;14;14;"3";"1";"1"
141;786;643;14;14;"3";"2";"2"
141;806;613;14;14;"3";"3";"3"
141;818;598;14;14;"3";"4";"4"
142;839;540;14;14;"3";"1";"1"
142;844;519;14;14;"3";"2";"2"
142;852;483;14;14;"3";"3";"3"
142;853;462;14;14;"3";"4";"4"
