"zone";"cx";"cy";"width";"height";"row";"col";"text"
"Партер";1120,0;187,0;28,0;28,0;"21";"10";"10"
"Партер";1090,0;187,0;28,0;28,0;"21";"11";"11"
"Партер";1060,0;187,0;28,0;28,0;"21";"12";"12"
"Партер";1029,0;187,0;28,0;28,0;"21";"13";"13"
"Партер";1000,0;187,0;28,0;28,0;"21";"14";"14"
"Партер";969,0;187,0;28,0;28,0;"21";"15";"15"
"Партер";940,0;187,0;28,0;28,0;"21";"16";"16"
"Партер";911,0;187,0;28,0;28,0;"21";"17";"17"
"Партер";882,0;187,0;28,0;28,0;"21";"18";"18"
"Партер";853,0;187,0;28,0;28,0;"21";"19";"19"
"Партер";1355,0;187,0;28,0;28,0;"21";"2";"2"
"Партер";823,0;187,0;28,0;28,0;"21";"20";"20"
"Партер";794,0;187,0;28,0;28,0;"21";"21";"21"
"Партер";763,0;187,0;28,0;28,0;"21";"22";"22"
"Партер";733,0;187,0;28,0;28,0;"21";"23";"23"
"Партер";703,0;186,0;28,0;28,0;"21";"24";"24"
"Партер";672,0;186,0;28,0;28,0;"21";"25";"25"
"Партер";642,0;186,0;28,0;28,0;"21";"26";"26"
"Партер";614,0;186,0;28,0;28,0;"21";"27";"27"
"Партер";584,0;186,0;28,0;28,0;"21";"28";"28"
"Партер";555,0;186,0;28,0;28,0;"21";"29";"29"
"Партер";1327,0;187,0;28,0;28,0;"21";"3";"3"
"Партер";526,0;186,0;28,0;28,0;"21";"30";"30"
"Партер";496,0;186,0;28,0;28,0;"21";"31";"31"
"Партер";466,0;186,0;28,0;28,0;"21";"32";"32"
"Партер";436,0;186,0;28,0;28,0;"21";"33";"33"
"Партер";407,0;186,0;28,0;28,0;"21";"34";"34"
"Партер";1296,0;187,0;28,0;28,0;"21";"4";"4"
"Партер";1266,0;187,0;28,0;28,0;"21";"5";"5"
"Партер";1238,0;187,0;28,0;28,0;"21";"6";"6"
"Партер";1208,0;187,0;28,0;28,0;"21";"7";"7"
"Партер";1179,0;187,0;28,0;28,0;"21";"8";"8"
"Партер";1150,0;187,0;28,0;28,0;"21";"9";"9"
"Партер";1400,0;914,0;28,0;28,0;"3";"1";"1"
"Партер";1134,0;914,0;28,0;28,0;"3";"10";"10"
"Партер";1104,0;914,0;28,0;28,0;"3";"11";"11"
"Партер";1074,0;914,0;28,0;28,0;"3";"12";"12"
"Партер";1043,0;914,0;28,0;28,0;"3";"13";"13"
"Партер";1014,0;914,0;28,0;28,0;"3";"14";"14"
"Партер";983,0;914,0;28,0;28,0;"3";"15";"15"
"Партер";954,0;914,0;28,0;28,0;"3";"16";"16"
"Партер";925,0;914,0;28,0;28,0;"3";"17";"17"
"Партер";896,0;914,0;28,0;28,0;"3";"18";"18"
