"zone";"cx";"cy";"width";"height";"row";"col";"text"
167;733;467;30;30;"10";"13";"13"
167;770;467;30;30;"10";"14";"14"
167;807;467;30;30;"10";"15";"15"
167;844;467;30;30;"10";"16";"16"
167;881;467;30;30;"10";"17";"17"
167;918;467;30;30;"10";"18";"18"
167;955;467;30;30;"10";"19";"19"
167;992;467;30;30;"10";"20";"20"
167;1029;467;30;30;"10";"21";"21"
167;1066;467;30;30;"10";"22";"22"
167;1103;467;30;30;"10";"23";"23"
167;1140;467;30;30;"10";"24";"24"
167;259;504;30;30;"9";"1";"1"
167;296;504;30;30;"9";"2";"2"
167;333;504;30;30;"9";"3";"3"
167;370;504;30;30;"9";"4";"4"
167;407;504;30;30;"9";"5";"5"
167;444;504;30;30;"9";"6";"6"
167;481;504;30;30;"9";"7";"7"
167;518;504;30;30;"9";"8";"8"
167;555;504;30;30;"9";"9";"9"
167;592;504;30;30;"9";"10";"10"
167;629;504;30;30;"9";"11";"11"
167;666;504;30;30;"9";"12";"12"
167;733;504;30;30;"9";"13";"13"
167;770;504;30;30;"9";"14";"14"
167;807;504;30;30;"9";"15";"15"
167;844;504;30;30;"9";"16";"16"
167;881;504;30;30;"9";"17";"17"
167;918;504;30;30;"9";"18";"18"
167;955;504;30;30;"9";"19";"19"
167;992;504;30;30;"9";"20";"20"
167;1029;504;30;30;"9";"21";"21"
167;1066;504;30;30;"9";"22";"22"
167;1103;504;30;30;"9";"23";"23"
167;1140;504;30;30;"9";"24";"24"
167;259;541;30;30;"8";"1";"1"
167;296;541;30;30;"8";"2";"2"
167;333;541;30;30;"8";"3";"3"
167;370;541;30;30;"8";"4";"4"
167;407;541;30;30;"8";"5";"5"
167;444;541;30;30;"8";"6";"6"
167;481;541;30;30;"8";"7";"7"
167;518;541;30;30;"8";"8";"8"
167;555;541;30;30;"8";"9";"9"
167;592;541;30;30;"8";"10";"10"
167;629;541;30;30;"8";"11";"11"
167;666;541;30;30;"8";"12";"12"
167;733;541;30;30;"8";"13";"13"
167;770;541;30;30;"8";"14";"14"
167;807;541;30;30;"8";"15";"15"
167;844;541;30;30;"8";"16";"16"
167;881;541;30;30;"8";"17";"17"
167;918;541;30;30;"8";"18";"18"
167;955;541;30;30;"8";"19";"19"
167;992;541;30;30;"8";"20";"20"
167;1029;541;30;30;"8";"21";"21"
167;1066;541;30;30;"8";"22";"22"
167;1103;541;30;30;"8";"23";"23"
167;1140;541;30;30;"8";"24";"24"
167;259;578;30;30;"7";"1";"1"
167;296;578;30;30;"7";"2";"2"
167;333;578;30;30;"7";"3";"3"
167;370;578;30;30;"7";"4";"4"
167;407;578;30;30;"7";"5";"5"
167;444;578;30;30;"7";"6";"6"
167;481;578;30;30;"7";"7";"7"
167;518;578;30;30;"7";"8";"8"
167;555;578;30;30;"7";"9";"9"
167;592;578;30;30;"7";"10";"10"
167;629;578;30;30;"7";"11";"11"
167;666;578;30;30;"7";"12";"12"
167;733;578;30;30;"7";"13";"13"
167;770;578;30;30;"7";"14";"14"
167;807;578;30;30;"7";"15";"15"
167;844;578;30;30;"7";"16";"16"
167;881;578;30;30;"7";"17";"17"
167;918;578;30;30;"7";"18";"18"
167;955;578;30;30;"7";"19";"19"
167;992;578;30;30;"7";"20";"20"
167;1029;578;30;30;"7";"21";"21"
167;1066;578;30;30;"7";"22";"22"
167;1103;578;30;30;"7";"23";"23"
167;1140;578;30;30;"7";"24";"24"
167;259;615;30;30;"6";"1";"1"
167;296;615;30;30;"6";"2";"2"
167;333;615;30;30;"6";"3";"3"
167;370;615;30;30;"6";"4";"4"
167;407;615;30;30;"6";"5";"5"
167;444;615;30;30;"6";"6";"6"
167;481;615;30;30;"6";"7";"7"
167;518;615;30;30;"6";"8";"8"
167;555;615;30;30;"6";"9";"9"
167;592;615;30;30;"6";"10";"10"
167;629;615;30;30;"6";"11";"11"
167;666;615;30;30;"6";"12";"12"
167;733;615;30;30;"6";"13";"13"
167;770;615;30;30;"6";"14";"14"
167;807;615;30;30;"6";"15";"15"
